question,choiceA,choiceB,choiceC,choiceD,answer
What is the only planet that hosts life that we know of?,Earth,Mars,Jupiter,Venus,A
What is the closest planet to our Sun,Mercury,Earth,Mars,Neptune,A
How long does It take for the earth to orbit the sun?,200 days,365 days,10 days,500 days,B
How many moons does Earth Have,1,5,123,2,A
Which planet is known as the Red Planet?,Venus,Saturn,Mars,Jupiter,C
What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C
Which planet has the most extensive ring system?,Earth,Saturn,Mars,Neptune,B
What is the name of our galaxy?,Andromeda,Milky Way,Whirlpool,Sombrero,B
Which planet is known for its extreme greenhouse effect?,Mars,Venus,Neptune,Mercury,B
What is the smallest planet in our Solar System?,Earth,Mars,Mercury,Pluto,C
Which planet has the fastest orbit around the Sun?,Venus,Earth,Mars,Mercury,D
What is the second largest planet in our Solar System?,Neptune,Saturn,Uranus,Mars,B
Which planet is tipped over on its side rotating almost horizontally?,Uranus,Neptune,Saturn,Jupiter,A
What is the hottest planet in our Solar System?,Mercury,Venus,Mars,Earth,B
What is the largest moon in the Solar System?,Titan,Europa,Ganymede,Phobos,C
Which planet has the strongest winds?,Mars,Neptune,Saturn,Jupiter,B
Which dwarf planet was once classified as the ninth planet?,Eris,Ceres,Pluto,Haumea,C
Which planet is farthest from the Sun?,Neptune,Saturn,Jupiter,Uranus,A
